PS C:\Users\isikm> & C:/ProgramData/Anaconda3/python.exe "g:/Drive'ım/Okul/2024C-GÜZ/KON492 Bitirme Tasarım Projesi/pendulum_yeni.py"
2024-09-24 14:12:03.695201: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-09-24 14:12:05.510030: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-09-24 14:12:11.790020: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
episode: 122/1000, score: 10.387161359811252, epsilon: 0.488268110063051, done: True
episode: 123/1000, score: -7.95798051034083, epsilon: 0.48582676951273573, done: False
episode: 124/1000, score: -4.679143809428052, epsilon: 0.4833976356651721, done: False
episode: 125/1000, score: 1.5218897628872292, epsilon: 0.4809806474868462, done: False
episode: 126/1000, score: -0.8072858816898966, epsilon: 0.47857574424941196, done: False
episode: 127/1000, score: 1.854431302556414, epsilon: 0.4761828655281649, done: False
episode: 128/1000, score: -18.022674185537547, epsilon: 0.4738019512005241, done: False
episode: 129/1000, score: 3.9932486960223503, epsilon: 0.47143294144452147, done: False
episode: 130/1000, score: 18.03940027699974, epsilon: 0.46907577673729883, done: False
episode: 131/1000, score: -5.771186695135748, epsilon: 0.4667303978536123, done: False
episode: 132/1000, score: -0.2192668717678128, epsilon: 0.46439674586434426, done: False
episode: 133/1000, score: 14.319183940738302, epsilon: 0.4620747621350225, done: False
episode: 134/1000, score: 3.025892516688412, epsilon: 0.4597643883243474, done: False
episode: 135/1000, score: -0.25335610929484054, epsilon: 0.4574655663827257, done: False
episode: 136/1000, score: 2.6247720596992963, epsilon: 0.455178238550812, done: False
episode: 137/1000, score: 11.069770976190663, epsilon: 0.45290234735805796, done: False
episode: 138/1000, score: 16.076093762355658, epsilon: 0.4506378356212677, done: False
