t,x,x_dot,theta,theta_dot,r,F
2.05,-1.9604657483876151,-1.0709280267119847,-0.07275869280125966,-0.02902362371092456,2.7,4.065984531791866
2.06,-1.971136324427637,-1.0631839543158559,-0.07304141484544674,-0.02752426202662355,2.7,4.063729826118033
2.07,-1.981729365298527,-1.055421228584388,-0.07330924739324822,-0.026045705693725378,2.7,4.0615279514443055
2.08,-1.9922446915022864,-1.047641253033116,-0.07356239793177134,-0.02458784101483715,2.7,4.059378348298599
2.09,-2.0026821374696846,-1.0398454099274967,-0.07380107279888586,-0.02315055186142658,2.7,4.057280458224963
2.1,-2.01304155134858,-1.0320350604474575,-0.07402547715955128,-0.0217337198007057,2.7,4.0552337238975955
2.11,-2.023322794793889,-1.0242115448521674,-0.07423581498338754,-0.020337224217420895,2.7,4.053237589230223
2.12,-2.033525742759205,-1.0163761826449955,-0.07443228902343879,-0.018960942430767895,2.7,4.051291499481068
2.13,-2.043650283290061,-1.0085302727386292,-0.07461510079608301,-0.017604749806640195,2.7,4.049394901353535
2.14,-2.0536963173188556,-1.0006750936203186,-0.07478445056204144,-0.016268519865410856,2.7,4.0475472430928106
2.15,-2.063663758461418,-0.9928119035172218,-0.07494053730844455,-0.014952124385438546,2.7,4.045747974578518
2.16,-2.07355253281524,-0.9849419405618176,-0.07508355873191212,-0.013655433502480212,2.7,4.043996547413599
2.17,-2.083362578759354,-0.9770664229573638,-0.07521371122260803,-0.012378315805185301,2.7,4.042292415009543
2.18,-2.093093846755867,-0.9691865491433685,-0.07533118984923086,-0.011120638426838157,2.7,4.040635032668126
2.19,-2.102746299153153,-0.961303497961053,-0.07543618834490398,-0.009882267133508003,2.7,4.039023857659776
2.2,-2.1123199099906955,-0.9534184288187775,-0.07552889909392972,-0.008663066408759322,2.7,4.037458349298706
2.21,-2.121814664805587,-0.9455324818574087,-0.0756095131193741,-0.0074628995350680336,2.7,4.035937969014923
2.22,-2.1312305604406796,-0.9376467781155995,-0.07567822007144982,-0.0062816286720831435,2.7,4.03446218042324
2.23,-2.140567604854389,-0.9297624196949634,-0.07573520821666667,-0.005119114931866418,2.7,4.033030449389403
2.24,-2.1498258169321494,-0.9218804899251161,-0.07578066442771973,-0.003975218451237987,2.7,4.031642244093432
2.25,-2.1590052262995183,-0.9140020535285655,-0.07581477417408708,-0.0028497984613486543,2.7,4.030297035090285
2.2600000000000002,-2.1681058731369296,-0.9061281567854252,-0.07583772151330985,-0.0017427133545957346,2.7,4.028994295367944
2.27,-2.177127807996092,-0.8982598276979338,-0.07584968908292862,-0.0006538207489931308,2.7,4.027733500403013
2.2800000000000002,-2.1860710916180315,-0.8903980761547553,-0.07585085809305125,0.00041702244989851034,2.7,4.026514128213917
2.29,-2.194935794752776,-0.8825438940950439,-0.07584140831952817,0.0014699599893798904,2.7,4.025335659411799
2.3000000000000003,-2.2037219979806806,-0.8746982556722516,-0.07582151809771234,0.002505136212262851,2.7,4.024197577249181
2.31,-2.2124297915353885,-0.8668621174176605,-0.07579136431678196,0.0035226960016693926,2.7,4.02309936766648
2.32,-2.2210592751284244,-0.8590364184036196,-0.07575112241460467,0.0045227847278913325,2.7,4.022040519336457
2.33,-2.229610557775421,-0.8512220804064692,-0.07570096637312337,0.005505548197226567,2.7,4.021020523706658
2.34,-2.2380837576239725,-0.8434200080691341,-0.07564106871424399,0.0064711326027111354,2.7,4.020038875039932
2.35,-2.2464790017831104,-0.8356310890633687,-0.07557160049620683,0.007419684476669908,2.7,4.019095070453077
2.36,-2.2547964261544036,-0.8278561942516365,-0.07549273131042368,0.008351350645012759,2.7,4.018188609953704
2.37,-2.263036175264671,-0.8200961778486074,-0.0754046292787634,0.009266278183205315,2.7,4.017318996475339
2.38,-2.271198402100312,-0.8123518775822574,-0.07530746105126987,0.010164614373847775,2.7,4.016485735910869
2.39,-2.2792832679432413,-0.8046241148545519,-0.07520139180429619,0.01104650666579711,2.7,4.015688337144355
2.4,-2.287290942208431,-0.796913694901702,-0.07508658523904038,0.011912102634771785,2.7,4.014926312081272
2.41,-2.295221602283053,-0.7892214069539736,-0.07496320358046779,0.012761549945379994,2.7,4.014199175677245
2.42,-2.303075433367216,-0.7815480243950368,-0.07483140757660625,0.013594996314516022,2.7,4.013506445965313
2.43,-2.310852628316295,-0.7738943049208423,-0.07469135649820084,0.014412589476070714,2.7,4.012847644081772
2.44,-2.3185533874848456,-0.7662609906980075,-0.07454320813871503,0.01521447714690545,2.7,4.012222294290646
2.45,-2.3261779185721014,-0.7586488085217011,-0.07438711881466602,0.01600080699404048,2.7,4.011629924006839
2.46,-2.3337264364690458,-0.7510584699730124,-0.07422324336628232,0.01677172660301124,2.7,4.011070063817995
2.47,-2.3411991631070563,-0.7434906715757897,-0.07405173515847219,0.017527383447347916,2.7,4.010542247505103
2.48,-2.348596327308115,-0.7359460949529386,-0.07387274608209164,0.018267924859135795,2.7,4.010046012061918
2.49,-2.3559181646365768,-0.7284254069821647,-0.0736864265555019,0.018993498000615505,2.7,4.009580897713201
2.5,-2.363164917252495,-0.7209292599511502,-0.07349292552640552,0.019704249836784593,2.7,4.009146447931827
2.5100000000000002,-2.370336833766493,-0.7134582917121502,-0.07329239047395182,0.020400327108962765,2.7,4.0087422094548
2.52,-2.3774341690961838,-0.7060131258360012,-0.07308496741110203,0.02108187630928579,2.7,4.008367732298204
2.5300000000000002,-2.3844571843241185,-0.6985943717655243,-0.07287080088724476,0.021749043656093536,2.7,4.008022569771127
2.54,-2.3914061465572742,-0.6912026249683192,-0.07265003399105362,0.02240197507018002,2.7,4.0077062784885795
2.5500000000000003,-2.398281328788063,-0.6838384670889305,-0.07242280835357774,0.023040816151874255,2.7,4.007418418383447
2.56,-2.405083009756858,-0.676502466100383,-0.07218926415155785,0.023665712158922117,2.7,4.007158552717502
2.57,-2.4118114738160337,-0.6691951764550698,-0.07194954011095935,0.024276807985140925,2.7,4.006926248091503
2.58,-2.418467010795512,-0.6619171392349865,-0.07170377351071525,0.02487424813981938,2.7,4.006721074454403
2.59,-2.4250499158698067,-0.6546688823013017,-0.07145210018667145,0.025458176727836956,2.7,4.006542605111711
2.6,-2.4315604894265594,-0.647450920443252,-0.0711946545357273,0.026028737430477802,2.7,4.006390416732999
2.61,-2.4379990369365623,-0.6402637555263548,-0.07093156952016479,0.0265860734869153,2.7,4.00626408935862
2.62,-2.4443658688252583,-0.6331078766399274,-0.07066297667215934,0.02713032767634449,2.7,4.006163206405618
2.63,-2.4506613003457156,-0.625983760243907,-0.07038900609846648,0.027661642300740558,2.7,4.006087354672887
2.64,-2.4568856514530646,-0.618891870314959,-0.07010978648527759,0.028180159168222238,2.7,4.006036124345583
2.65,-2.4630392466803896,-0.6118326584918685,-0.06982544510323933,0.02868601957700051,2.7,4.0060091089988035
2.66,-2.469122415016079,-0.6048065642202058,-0.0695361078126305,0.029179364299893068,2.7,4.006005905600588
2.67,-2.475135489782609,-0.5978140148962569,-0.06924189906869117,0.029660333569386216,2.7,4.006026114514209
2.68,-2.481078808516771,-0.5908554260102143,-0.06894294192709845,0.03012906706322678,2.7,4.006069339499817
2.69,-2.48695271285132,-0.5839312012886179,-0.06863935804958378,0.0305857038905267,2.7,4.006135187715435
2.7,-2.4927575483980497,-0.5770417328360399,-0.06833126770968669,0.03103038257836488,2.7,4.0062232697173235
2.71,-2.498493664632276,-0.5701874012760075,-0.0680187897986401,0.03146324105886973,2.7,4.006333199459744
2.72,-2.504161414778731,-0.5633685758911557,-0.0677020418313825,0.031884416656768666,2.7,4.006464594294115
2.73,-2.509761155698849,-0.5565856147626037,-0.06738113995269222,0.032294046077389144,2.7,4.006617074967601
2.74,-2.515293247779445,-0.5498388649085496,-0.06705619894343975,0.032692265395098286,2.7,4.006790265621141
2.75,-2.5207580548227777,-0.5431286624220765,-0.0667273322269532,0.033079210042167795,2.7,4.0069837937869215
2.7600000000000002,-2.5261559439379795,-0.5364553326081641,-0.06639465187549336,0.03345501479805113,2.7,4.007197290385325
2.77,-2.5314872854338617,-0.529819190119901,-0.06605826861683366,0.033819813779061375,2.7,4.0074303897213595
2.7800000000000002,-2.536752452713072,-0.5232205390938905,-0.06571829184094173,0.03417374042843764,2.7,4.007682729480586
2.79,-2.5419518221676016,-0.5166596732848477,-0.06537482960675813,0.03451692750678903,2.7,4.007953950724552
2.8000000000000003,-2.5470857730756387,-0.5101368761993791,-0.06502798864906888,0.034849507082905296,2.7,4.008243697885751
2.81,-2.552154687499749,-0.5036524212289427,-0.06467787438546821,0.0351716105249239,2.7,4.00855161876212
2.82,-2.55715895018639,-0.4972065717819827,-0.06432459092340771,0.03548336849184361,2.7,4.008877364511082
2.83,-2.562098948466736,-0.4907995814152346,-0.06396824106732875,0.035784910925374475,2.7,4.009220589643149
2.84,-2.566975072158813,-0.4844316939641966,-0.0636089263258748,0.0360763670421157,2.7,4.009580952015102
2.85,-2.5717877134709366,-0.47810314367276174,-0.06324674691918025,0.03635786532605209,2.7,4.009958112822749
2.86,-2.5765372669064406,-0.47181415532201,-0.06288180178623287,0.03662953352136045,2.7,4.010351736593279
2.87,-2.5812241291696894,-0.46556494435815365,-0.06251418859230651,0.036891498625517924,2.7,4.010761491177229
2.88,-2.585848699073364,-0.4593557170196326,-0.06214400373646134,0.03714388688270398,2.7,4.011187047740057
2.89,-2.590411377447018,-0.4531866704633591,-0.061771342359108694,0.03738682377748884,2.7,4.011628080753345
2.9,-2.5949125670468893,-0.44705799289010406,-0.06139629834963744,0.03762043402880025,2.7,4.012084267985645
2.91,-2.5993526724669618,-0.44096986366902685,-0.061018964354099536,0.03784484158416232,2.7,4.012555290492964
2.92,-2.603732100051269,-0.43492245346134106,-0.06063943178295171,0.03806016961419853,2.7,4.013040832608907
2.93,-2.608051257807428,-0.4289159243431175,-0.060257790818850916,0.03826654050739303,2.7,4.01354058193449
2.94,-2.6123105553214,-0.42295042992721926,-0.059874130424500814,0.03846407586510353,2.7,4.01405422932762
2.95,-2.6165104036734634,-0.41702611548436735,-0.05948853835054701,0.0386528964968193,2.7,4.014581468892264
2.96,-2.620651215355394,-0.41114311806333464,-0.059101101143518395,0.038833122415658616,2.7,4.015121997967314
2.97,-2.6247334041888437,-0.4053015666102661,-0.05871190415381242,0.03900487283409945,2.7,4.015675517115139
2.98,-2.6287573852449064,-0.3995015820871232,-0.05832103154372191,0.03916826615993822,2.7,4.016241730109864
2.99,-2.632723574764865,-0.39374327758925104,-0.05792856629550112,0.039323419992470604,2.7,4.016820343925354
3.0,-2.6366323900821085,-0.38802675846206575,-0.05753459021946894,0.039470451118889596,2.7,4.017411068722924
3.0100000000000002,-2.6404842495452145,-0.3823521224168623,-0.05713918396214707,0.03960947551089533,2.7,4.01801361783879
3.02,-2.644279572442182,-0.3767194596457395,-0.05674242701443104,0.03974060832151176,2.7,4.018627707771252
3.0300000000000002,-2.64801877892581,-0.37112885293564213,-0.05634439771979198,0.03986396388210553,2.7,4.019253058167632
3.04,-2.651702289940213,-0.36558037778151903,-0.05594517328250736,0.03997965569960216,2.7,4.0198893918109615
3.0500000000000003,-2.6553305271484633,-0.3600741024985963,-0.05554482977591846,0.04008779645389518,2.7,4.020536434606437
3.06,-2.6589039128613523,-0.35461008833376395,-0.055143442150712874,0.0401884979954434,2.7,4.0211939155676415
3.0700000000000003,-2.662422869967257,-0.349188389576077,-0.0547410842432301,0.040281871343052625,2.7,4.021861566802544
3.08,-2.665887821863116,-0.3438090536663688,-0.05433782878378841,0.0403680266818371,2.7,4.022539123499281
3.09,-2.669299192386486,-0.33847212130597765,-0.053933747405031214,0.04044707336135686,2.7,4.023226323911734
3.1,-2.6726574057486903,-0.33317762656458516,-0.053528910650291237,0.04051911989392701,2.7,4.023922909344892
3.11,-2.675962886469037,-0.3279255969871676,-0.05312338798197067,0.04058427395309515,2.7,4.024628624140024
3.12,-2.6792160593101024,-0.32271605370005907,-0.0527172477899358,0.04064264237228302,2.7,4.025343215659667
3.13,-2.682417349214072,-0.3175490115161271,-0.052310557399924365,0.04069433114358882,2.7,4.026066434272412
3.14,-2.6855671812401267,-0.31242447903906106,-0.05190338308196416,0.04073944541674676,2.7,4.026798033337523
3.15,-2.6886659805028694,-0.30734245876677374,-0.05149579005880121,0.040778089498240244,2.7,4.0275377691893866
3.16,-2.6917141721117828,-0.302302947193916,-0.05108784251433608,0.04081036685056516,2.7,4.028285401121781
3.17,-2.694712181111701,-0.29730593491350604,-0.05067960360206685,0.040836380091640354,2.7,4.029040691371989
3.18,-2.6976604324243025,-0.2923514067176732,-0.0502711354535372,0.04085623099436175,2.7,4.029803405104769
3.19,-2.7005593507905967,-0.2874393416975175,-0.049862499186788305,0.04087002048629708,2.7,4.030573310396143
