x,x_dot,theta,theta_dot
2.703688425329607847e-01,-8.587163131101657743e-02,5.541397226916114249e+00,1.425839602711644893e+00
2.698618298634394841e-01,7.617684734708361771e-02,5.556382135027376101e+00,-1.122040272945107553e+00
2.839501513277742362e-01,1.851220698967192824e-01,5.313260843276999879e+00,-3.772825385760897987e+00
2.987883435616098815e-01,4.665612491325576289e-02,4.793627882571501964e+00,-6.682788305335953360e+00
2.752692737752834851e-01,-6.199120083005968951e-01,3.946952262674506606e+00,-1.049794436731704650e+01
1.812524890027036595e-01,-9.315275632040808107e-01,2.743968039975440032e+00,-1.200209391199115316e+01
1.323771023048981033e-01,-1.009554607560422396e-01,1.758144199319562118e+00,-7.823638726625820716e+00
1.411619957407525272e-01,1.917077902585995475e-01,1.137574102095180173e+00,-4.697176958010776282e+00
1.591202741833580570e-01,1.339975119375094448e-01,8.081308045243253968e-01,-1.923000932856189893e+00
1.647538358972356620e-01,-2.506606070589951704e-02,7.478461029638152624e-01,7.063238206233721783e-01
1.552382598472467068e-01,-1.480438849128162537e-01,9.514144227602269188e-01,3.390761542180968924e+00
1.423012042031407132e-01,-5.158885154937673662e-02,1.432874183843309668e+00,6.289388001949578921e+00
1.618510934328100948e-01,5.456923019289263710e-01,2.234190975572005300e+00,9.964624326263095355e+00
2.534437125679328551e-01,1.020145532076802475e+00,3.409297970332640038e+00,1.226083406717274471e+01
3.132777407301667316e-01,1.911763037635070550e-01,4.432261140989731452e+00,8.147195263921224395e+00
3.106967490483718564e-01,-1.530299579589123882e-01,5.079472643297489043e+00,4.924887339768021732e+00
2.952851332429371478e-01,-1.172932706059928443e-01,5.429026226399578547e+00,2.095256540177600879e+00
2.910519078088322775e-01,3.787959097330581559e-02,5.503192367471769764e+00,-6.006587732949387748e-01
3.018179284301134579e-01,1.600120191727846808e-01,5.307457026956696744e+00,-3.335635761639223595e+00
3.158232506972178943e-01,6.068359265713932360e-02,4.829868167175663807e+00,-6.265306988272938860e+00
2.970400927433258786e-01,-5.382740509886945190e-01,4.029692344136432069e+00,-9.961829805579505148e+00
2.072809361032481312e-01,-9.862915295775093183e-01,2.859288782278752716e+00,-1.214188486058020722e+01
1.505567783560422257e-01,-1.674709254208900100e-01,1.848360191925765283e+00,-8.039370111601789048e+00
1.548815084805894027e-01,1.656173294416695974e-01,1.211871743295724890e+00,-4.812118432696733450e+00
1.712977004514673884e-01,1.256360337868879518e-01,8.749500602668669469e-01,-1.951925642677994954e+00
1.763391904728356663e-01,-2.906829302122471495e-02,8.176024660427954061e-01,7.971496631115186915e-01
